username,comment,rating,likes,create_time,comment_clean
f*****3,"Fungsi:dengan baik
Kondisi Barang:sedikit lecet maklum barang secend tapi tetap ok
Desain:bagus",5,0,1761852546,fungsi dengan baik kondisi barang sedikit lecet maklum barang secend tapi tetap ok desain bagus
n*****a,"Fungsi:barang bekerja dengan baik
Kondisi Barang:datang dengan kondisi yang muluss
Desain:cakeppp bangettt kayaaa masihhh baruuu syukakkkkkkk😍❤️❤️❤️❤️",5,0,1757747669,fungsi barang bekerja dengan baik kondisi barang datang dengan kondisi yang muluss desain cakeppp bangettt kayaaa masihhh baruuu syukakkkkkkk
_6cntzzjif,"Fungsi:berfungsi dg baik
Kondisi Barang:bagus mulus gambar
Desain:Bagus

Rekom belanja di toko ini
Seller amanah, kalo tanya selalu di jawab dg cepat.",5,0,1765792884,fungsi berfungsi dg baik kondisi barang bagus mulus gambar desain bagus rekom belanja di toko ini seller amanah kalo tanya selalu di jawab dg cepat
5ttruyo_sg,"Alhamdulillah paketnya sudah tiba. Packing rapi, macebook nya dapat berfungsi dengan baik.Semoga awet. Tokonya mantap, semoga jaya dan lancar.",5,0,1760534408,alhamdulillah paketnya sudah tiba packing rapi macebook nya dapat berfungsi dengan baik semoga awet tokonya mantap semoga jaya dan lancar
heniyuliani289,"2minggu pakai bermasalah, barang sudah saya kembalikan. tukar unit tapi tidak kunjung dikirim...update penilaian kalau barang sudah dikirim lagi ke saya.",1,0,1765792284,2minggu pakai bermasalah barang sudah saya kembalikan tukar unit tapi tidak kunjung dikirim update penilaian kalau barang sudah dikirim lagi ke saya
sugengmaruf,"Fungsi:barang bekerja dengan baik
Kondisi Barang:datang dalam keadaan mulus
Desain:terlihat keren dan modern",5,0,1756635865,fungsi barang bekerja dengan baik kondisi barang datang dalam keadaan mulus desain terlihat keren dan modern
hayatunnira111,"Fungsi:bekerja dengan baik sesuai harapan
Kondisi Barang:mulus walaupun ada gores kecil
Desain:menarik",5,0,1761865438,fungsi bekerja dengan baik sesuai harapan kondisi barang mulus walaupun ada gores kecil desain menarik
dedirp26,"Fungsi:narang bekerja dengan baik
Kondisi Barang:barang mulus rahayu
Desain:ok mantep keren",5,0,1764733198,fungsi narang bekerja dengan baik kondisi barang barang mulus rahayu desain ok mantep keren
rudiapriadi864,"Fungsi:baik
Kondisi Barang:95% masih baik,  wajar lecet pemakaian

Mantap barangnya",5,0,1764568982,fungsi baik kondisi barang 95 masih baik wajar lecet pemakaian mantap barangnya
robianggara33,"Fungsi:lancar
Kondisi Barang:lumayan

lumayan lah gak jelek bgt beberapa titik ada dent tapi worth it lah buat harga sgitu . semoga awet",5,0,1762177097,fungsi lancar kondisi barang lumayan lumayan lah gak jelek bgt beberapa titik ada dent tapi worth it lah buat harga sgitu semoga awet
ahmadfauzi131195,"Produk sesuai deskripsi, kondisi visual 98% masih mulus",5,0,1761827568,produk sesuai deskripsi kondisi visual 98 masih mulus
lkmeddia,"Fungsi:semoga berfungsi dengan baik
Kondisi Barang:barang datang dalam kondisi baik, double packing
Desain:model bagus",5,0,1765693566,fungsi semoga berfungsi dengan baik kondisi barang barang datang dalam kondisi baik double packing desain model bagus
muhamadrafi1206,"Fungsi:bagus kok
Kondisi Barang:mulus

Kalo ada yg kurang konsultasi ke cs nya aja diarahkan bener2",5,0,1759320741,fungsi bagus kok kondisi barang mulus kalo ada yg kurang konsultasi ke cs nya aja diarahkan bener2
a*****m,"Fungsi:baik
Kondisi Barang:banyak lecet2
Desain:lumayan",5,0,1763616906,fungsi baik kondisi barang banyak lecet2 desain lumayan
25v4dp4ma3,"Fungsi:berfungsi baik
Kondisi Barang:bagus
Desain:bagus n rapih",5,0,1755623928,fungsi berfungsi baik kondisi barang bagus desain bagus n rapih
moncipdaster,"gimana ini quality control nya parah, pengiriman lama, kurang teliti , ga ada bautnya, udh nunggu lama
kecewa di toko ini ga bakal balek lagi!",1,1,1764966012,gimana ini quality control nya parah pengiriman lama kurang teliti ga ada bautnya udh nunggu lama kecewa di toko ini ga bakal balek lagi
n*****7,"Fungsi:bekerja dengan baik
Kondisi Barang:masih muluss, baret dikit ga keliatan
Desain:macbook pada umumnya

Bagus banget, dengan harga segitu worth it to buy. Jangan ragu yah beli di toko ini, ada garansinya juga.",5,0,1751563316,fungsi bekerja dengan baik kondisi barang masih muluss baret dikit ga keliatan desain macbook pada umumnya bagus banget dengan harga segitu worth it to buy jangan ragu yah beli di toko ini ada garansinya juga
adrianalomang,"Fungsi:bekerja dgn baik
Kondisi Barang:agak 3 titik dent tapi tidak masalah
Desain:bagus dan tidak mengecewakan,

Belanja di toko ini tidak mengecewakan, trima kasih",5,0,1751638064,fungsi bekerja dgn baik kondisi barang agak 3 titik dent tapi tidak masalah desain bagus dan tidak mengecewakan belanja di toko ini tidak mengecewakan trima kasih
l*****u,"Fungsi:iya berfungsi meskipun selalu ada tulisan updet aja
Kondisi Barang:agak besret sedikit tapi bagus lah
Desain:suka desainnya

Baguss",5,1,1765062530,fungsi iya berfungsi meskipun selalu ada tulisan updet aja kondisi barang agak besret sedikit tapi bagus lah desain suka desainnya baguss
nurfajarsepyanto_23,"Fungsi:sesuai dengan deskripsi
Kondisi Barang:kondisi 98% masih bagus
Desain:sesuai deskripsi

Recomended untuk belajar dan kerja",5,0,1751410289,fungsi sesuai dengan deskripsi kondisi barang kondisi 98 masih bagus desain sesuai deskripsi recomended untuk belajar dan kerja
adrianalomang,"Fungsi:berfungsi dgn baik
Kondisi Barang:mulus
Desain:menarik dan tidak mengecewakan",5,0,1751637876,fungsi berfungsi dgn baik kondisi barang mulus desain menarik dan tidak mengecewakan
vmubvev8m8,"Fungsi:baik
Kondisi Barang:mulus cakep
Desain:bagus

cuma ga di install sama yg saya minta pdhl mereka sendiri yg suruh tulis sesuai request sih. ya tapi yaudahlah. barangnya bagus masih mulus  , berfungsi dengan baik",5,0,1751184241,fungsi baik kondisi barang mulus cakep desain bagus cuma ga di install sama yg saya minta pdhl mereka sendiri yg suruh tulis sesuai request sih ya tapi yaudahlah barangnya bagus masih mulus berfungsi dengan baik
p*****0,"Fungsi:tidak berfungsi
Kondisi Barang:tidak bisa di pakai

Perdana mesen di seller ini. Sebelumnya saya selalu repeat order di beberapa seller lain, karna saya juga buat dagang.
Pertama dtng 1 unit itu tidak berfungsi speker dan sensor nya. Jika di tutup dan di buka layar tdk nyala
Di live di bilang CC btre kecil. Saat sampai ternyata udh gede banget 890
2 hari berjalan. Unit yg satu lgi juga bermasalah. LCD nya suka goyang saat pemakaian. Sprti longgar 
Alhasil ke 2 unit yg saya pesan smua rusak. Tpi satu yg saya kembalikan. Krna yg satu lgi saya perbaiki sndri
Saya return yg 1 unit dengan pengembalian dana. 
Tpi seller kekeuh gnti barang. Dengan alasan yg saya pikir ngk masuk akal. Dengan bbrpa bukti yg saya lampirkan di kolom komplen. Akirnya dana balik
Terakir deh order sma seller ini",1,4,1765796284,fungsi tidak berfungsi kondisi barang tidak bisa di pakai perdana mesen di seller ini sebelumnya saya selalu repeat order di beberapa seller lain karna saya juga buat dagang pertama dtng 1 unit itu tidak berfungsi speker dan sensor nya jika di tutup dan di buka layar tdk nyala di live di bilang cc btre kecil saat sampai ternyata udh gede banget 890 2 hari berjalan unit yg satu lgi juga bermasalah lcd nya suka goyang saat pemakaian sprti longgar alhasil ke 2 unit yg saya pesan smua rusak tpi satu yg saya kembalikan krna yg satu lgi saya perbaiki sndri saya return yg 1 unit dengan pengembalian dana tpi seller kekeuh gnti barang dengan alasan yg saya pikir ngk masuk akal dengan bbrpa bukti yg saya lampirkan di kolom komplen akirnya dana balik terakir deh order sma seller ini
fuadibachrulielmy,"Fungsi:normal
Kondisi Barang:mulus
Permukaan:mulus

Bagus mudah2an awet",5,0,1749790554,fungsi normal kondisi barang mulus permukaan mulus bagus mudah2an awet
hds1113n,"Fungsi:berfungsi dengan baik
Kondisi Barang:bagus
Permukaan:mulus

Semoga awet... Berkah buat tokonya",4,0,1749904283,fungsi berfungsi dengan baik kondisi barang bagus permukaan mulus semoga awet berkah buat tokonya
eltonmayor048,"Fungsi:berfungsi dengan sangat cepat dan baik ttp
Kondisi Barang:datang dengan sangat mulus walaupun hanya second tpi, original 98%
Desain:bagus dan menarik

Awal mau order ragu"" karna t4 sya di Papua,PROV Papua Barat Daya, kota Sorong TPI, begitu leptopnya datang smpai dirumah dengan kurir yg menggunakan mobil . Sya merasa sangat puass skli, bgtu juga dengan pengirimannya bgtu cepat dan adminnya ramah trima kasih bnyak atas barang orderannya sya merasa sangat puasss..🤩🙏🏼 semoga leptopnya awet dan tahan lama",5,1,1765362694,fungsi berfungsi dengan sangat cepat dan baik ttp kondisi barang datang dengan sangat mulus walaupun hanya second tpi original 98 desain bagus dan menarik awal mau order ragu karna t4 sya di papua prov papua barat daya kota sorong tpi begitu leptopnya datang smpai dirumah dengan kurir yg menggunakan mobil sya merasa sangat puass skli bgtu juga dengan pengirimannya bgtu cepat dan adminnya ramah trima kasih bnyak atas barang orderannya sya merasa sangat puasss semoga leptopnya awet dan tahan lama
romanrichardosibuea,"Fungsi:ok
Kondisi Barang:bagus
Kegunaan:ok

Bagus, semuanya berfungsi. Pokoknya keren dan rekomen beli disini",5,0,1748778944,fungsi ok kondisi barang bagus kegunaan ok bagus semuanya berfungsi pokoknya keren dan rekomen beli disini
justiaganang,"Fungsi:bejala baik
Kondisi Barang:minus di trackpad sama keyboard bersamalah di tombol O&L",3,0,1750653792,fungsi bejala baik kondisi barang minus di trackpad sama keyboard bersamalah di tombol o l
j*****t,"Fungsi:oke
Kondisi Barang:barang bagus
Spesifikasi:sesuai deskripsi",5,1,1747931881,fungsi oke kondisi barang barang bagus spesifikasi sesuai deskripsi
oktorio191919,"Fungsi:bekerja dengan baik
Kondisi Barang:datang dalam keadaan bagus",4,2,1744731619,fungsi bekerja dengan baik kondisi barang datang dalam keadaan bagus
sevinaalzahra227,"Fungsi:baik
Kondisi Barang:sangat mulus

Alhamdulillah sudah sampai dengan aman, untuk saat ini masih aman” aja semoga ttp aman kedepannya🙏🏻",5,0,1744347539,fungsi baik kondisi barang sangat mulus alhamdulillah sudah sampai dengan aman untuk saat ini masih aman aja semoga ttp aman kedepannya
