username,comment,rating,likes,create_time,comment_clean,tokens,tokens_count
b*****a,"Fungsi:mantap berfungsi dengan baik
Garansi:ada garansinya juga
Pengalaman:sejauh ini laptop ga ngelag habis tambah ram

baik barangnya kalo urusan cocok sih di aku cocok kok",5,0,1763027575,fungsi mantap berfungsi dengan baik garansi ada garansinya juga pengalaman sejauh ini laptop ga ngelag habis tambah ram baik barangnya kalo urusan cocok sih di aku cocok kok,fungsi mantap berfungsi dengan baik garansi ada garansinya juga pengalaman sejauh ini laptop ga ngelag habis tambah ram baik barangnya kalo urusan cocok sih di aku cocok kok,28
faridmocharom,,5,0,1754757518,,nan,1
yohanesamirmili,"Fitur Terbaik:ok
Sepadan dengan Harga:sangat murah 😀

Pelayanan 👍🙏🙏🙏
Expedition ok 👍🙏🙏🙏",5,0,1684058203,fitur terbaik ok sepadan dengan harga sangat murah pelayanan expedition ok,fitur terbaik ok sepadan dengan harga sangat murah pelayanan expedition ok,11
littleandi,"barang udh nyampe, sesuai pesanan.. udh test, ok. mksh seller.",5,0,1745985780,barang udh nyampe sesuai pesanan udh test ok mksh seller,barang udh nyampe sesuai pesanan udh test ok mksh seller,10
davidheriyanto1982,"Ram 16GB sdh sampe,smoga awet dan tdk bermasalah di laptop saya....yg bawaan laptop 11,yg ini 10 (16GB,2666Mhz, 10) turun sedikit gpp....",5,0,1708583491,ram 16gb sdh sampe smoga awet dan tdk bermasalah di laptop saya yg bawaan laptop 11 yg ini 10 16gb 2666mhz 10 turun sedikit gpp,ram 16gb sdh sampe smoga awet dan tdk bermasalah di laptop saya yg bawaan laptop 11 yg ini 10 16gb 2666mhz 10 turun sedikit gpp,25
p*****k,"Uapik soro wes pokoke marai banter, nambahi karakter untuk dapat koinnya hahaha",5,0,1720325781,uapik soro wes pokoke marai banter nambahi karakter untuk dapat koinnya hahaha,uapik soro wes pokoke marai banter nambahi karakter untuk dapat koinnya hahaha,12
ahmadfir,Thanks gan,5,0,1655970793,thanks gan,thanks gan,2
r*****_,"Tidak sesuai dengan deskripsi...
Stiker samsung, ternyata ICnya Hynix...",3,0,1750500434,tidak sesuai dengan deskripsi stiker samsung ternyata icnya hynix,tidak sesuai dengan deskripsi stiker samsung ternyata icnya hynix,9
n*****o,bagus pol,5,0,1687581490,bagus pol,bagus pol,2
f*****8,"Fungsi:good
Garansi:kalo rusak ganti baru

Sejauh ini gak ada kendala, dan terbaca di laptop Advan soulmate plus yg mana default memory berjalan cuma 2400Mhz.. tapi dipasang 2666Mhz bisa tapi mubazir si emang.. kalo liat spek bisa sampe 3200Mhz sayang nya bukan PC yg bisa oc ram di BIOS 😅",5,0,1749470666,fungsi good garansi kalo rusak ganti baru sejauh ini gak ada kendala dan terbaca di laptop advan soulmate plus yg mana default memory berjalan cuma 2400mhz tapi dipasang 2666mhz bisa tapi mubazir si emang kalo liat spek bisa sampe 3200mhz sayang nya bukan pc yg bisa oc ram di bios,fungsi good garansi kalo rusak ganti baru sejauh ini gak ada kendala dan terbaca di laptop advan soulmate plus yg mana default memory berjalan cuma 2400mhz tapi dipasang 2666mhz bisa tapi mubazir si emang kalo liat spek bisa sampe 3200mhz sayang nya bukan pc yg bisa oc ram di bios,50
asrofi010,"Fitur Terbaik:bagus
Sepadan dengan Harga:baik

Alhamdulillah mendarat selamat, ram berfungsi juga terbaca di cpu z, semoga bisa awet dan berfungsi dengan baik",5,0,1749049998,fitur terbaik bagus sepadan dengan harga baik alhamdulillah mendarat selamat ram berfungsi juga terbaca di cpu z semoga bisa awet dan berfungsi dengan baik,fitur terbaik bagus sepadan dengan harga baik alhamdulillah mendarat selamat ram berfungsi juga terbaca di cpu z semoga bisa awet dan berfungsi dengan baik,24
kamilan01,"Kinerja:berfungsi dengan baik
Fitur:cocok thk

Mantap kak",5,0,1720967399,kinerja berfungsi dengan baik fitur cocok thk mantap kak,kinerja berfungsi dengan baik fitur cocok thk mantap kak,9
